,missing_count,missing_percent,infinite_count,mean,median,std
iptm,0,0.0,0,0.5869881073635713,0.52807080745,0.23556025687227292
spoc_score,0,0.0,0,0.18192857142857147,0.015,0.25106298051308096
avg_n_models,0,0.0,0,0.3897738095238094,0.334,0.3684692048475873
max_n_models,0,0.0,0,0.5130952380952377,0.6,0.456148308876482
num_contacts_with_max_n_models,0,0.0,0,27.928571428571427,9.5,32.641754639199156
num_unique_contacts,0,0.0,0,52.11904761904762,43.0,56.56672929428215
mean_contacts_across_predictions,0,0.0,0,36.42857142857143,14.0,42.93561970534196
min_contacts_across_predictions,0,0.0,0,29.488095238095237,0.0,40.91363919597256
iptm_mean,0,0.0,0,0.5910714285714277,0.5325,0.2262963601529626
iptm_min,0,0.0,0,0.5322380952380935,0.474,0.24624684527485638
iptm_max,0,0.0,0,0.6372976190476193,0.6005,0.21783824984823658
best_num_residue_contacts,0,0.0,0,42.95238095238095,34.0,45.70317869955605
best_if_residues,0,0.0,0,31.738095238095237,28.0,32.786326042434865
best_plddt_max,0,0.0,0,53.166666666666664,76.0,43.64010803647458
best_pae_min,0,0.0,0,1.635951399091667,1.1071730255999999,2.4586142845870054
best_contact_score_max,0,0.0,0,481.76190476190476,298.0,526.8249703465185
best_num_significant_afm_scores,0,0.0,0,0.7261904761904762,0.0,2.4296851032803586
crispr_jaccard,0,0.0,0,0.048380952380952476,0.041,0.05256179560370839
crispr_shared_hit_count,0,0.0,0,0.8928571428571429,1.0,0.9010449667186988
co_expression_score,0,0.0,0,0.2360714285714286,0.0,0.8342704612552303
t5_embedding_cosine_dist,0,0.0,0,0.6356785714285721,0.6305000000000001,0.08560303575604798
t5_embedding_euclidian_dist,0,0.0,0,1.6466547619047611,1.701,0.21760754310769082
depmap_cosine_dist,0,0.0,0,0.9704404761904749,0.9895,0.36140577922871664
depmap_euclidian_dist,0,0.0,0,6.438619047619053,6.125,2.3371056999245075
depmap_abs_diff,0,0.0,0,0.6994761904761909,0.0935,2.3440562190153025
colocalization_match_score,0,0.0,0,0.34784523809523715,0.336,0.08894374801749158
