Data Preprocessing Report
==================================================

Balanced Subset Statistics
------------------------------
Total samples: 381
Features with missing values: 366
Features with infinite values: 0

Random Subset Statistics
------------------------------
Total samples: 420
Features with missing values: 370
Features with infinite values: 0


Features with high missing value percentages (>5%):
--------------------------------------------------

Balanced Subset:
totalCP: 5.51% missing
paeR_mean: 5.51% missing
paeL_mean: 5.51% missing
favorability_mean: 5.51% missing
ligContacts_N-term: 5.51% missing
ligContacts_TM1: 5.51% missing
ligContacts_ICL1: 5.51% missing
ligContacts_TM2: 5.51% missing
ligContacts_ECL1: 5.51% missing
ligContacts_TM3: 5.51% missing
ligContacts_ICL2: 5.51% missing
ligContacts_TM4: 5.51% missing
ligContacts_ECL2: 5.51% missing
ligContacts_TM5: 5.51% missing
ligContacts_ICL3: 5.51% missing
ligContacts_TM6: 5.51% missing
ligContacts_ECL3: 5.51% missing
ligContacts_TM7: 5.51% missing
ligContacts_H8: 5.51% missing
ligContacts_C-term: 5.51% missing
1.28_25_CP: 5.51% missing
1.29_33: 5.51% missing
1.30_37: 5.51% missing
1.31_39: 5.51% missing
1.32_43: 5.51% missing
1.33_45: 5.51% missing
1.34_45: 5.51% missing
1.35_48_CP: 5.51% missing
1.36_48: 5.51% missing
1.37_48: 5.51% missing
1.38_48: 5.51% missing
1.39_48_CP: 5.51% missing
1.40_48: 5.51% missing
1.41_48: 5.51% missing
1.42_48: 5.51% missing
1.43_48: 5.51% missing
1.44_48: 5.51% missing
1.45_48: 5.51% missing
1.46_48: 5.51% missing
1.47_48: 5.51% missing
1.48_48: 5.51% missing
1.49_48: 5.51% missing
1.50_48: 5.51% missing
1.51_48: 5.51% missing
1.52_48: 5.51% missing
1.53_48: 5.51% missing
1.54_48: 5.51% missing
1.55_48: 5.51% missing
1.56_48: 5.51% missing
1.57_48: 5.51% missing
1.58_48: 5.51% missing
1.59_47: 5.51% missing
1.60_47: 5.51% missing
2.37_42: 5.51% missing
2.38_45: 5.51% missing
2.39_47: 5.51% missing
2.40_48: 5.51% missing
2.41_48: 5.51% missing
2.42_48: 5.51% missing
2.43_48: 5.51% missing
2.44_48: 5.51% missing
2.45_48: 5.51% missing
2.46_48: 5.51% missing
2.47_47: 5.51% missing
2.48_48: 5.51% missing
2.49_48: 5.51% missing
2.50_48: 5.51% missing
2.51_48: 5.51% missing
2.52_48: 5.51% missing
2.53_48_CP: 5.51% missing
2.54_48: 5.51% missing
2.55_48: 5.51% missing
2.56_48_CP: 5.51% missing
2.57_48_CP: 5.51% missing
2.58_48: 5.51% missing
2.59_48_CP: 5.51% missing
2.60_48_CP: 5.51% missing
2.61_46_CP: 5.51% missing
2.62_44: 5.51% missing
2.63_43_CP: 5.51% missing
2.64_40_CP: 5.51% missing
2.65_38: 5.51% missing
2.66_37: 5.51% missing
2.67_27: 5.51% missing
3.21_39_CP: 5.51% missing
3.22_43: 5.51% missing
3.23_45: 5.51% missing
3.24_47: 5.51% missing
3.25_48: 5.51% missing
3.26_48_CP: 5.51% missing
3.27_48: 5.51% missing
3.28_48_CP: 5.51% missing
3.29_48_CP: 5.51% missing
3.30_48_CP: 5.51% missing
3.31_48: 5.51% missing
