,missing_count,missing_percent,infinite_count,mean,median,std
1.28_25_CP,0,0.0,0,0.14523809523809525,0.0,0.352760935059763
1.29_33,0,0.0,0,0.04047619047619048,0.0,0.1973082874360377
1.30_37,0,0.0,0,0.009523809523809525,0.0,0.09724001211853751
1.31_39,0,0.0,0,0.12142857142857143,0.0,0.32701420220208766
1.32_43,0,0.0,0,0.12142857142857143,0.0,0.32701420220208743
1.33_45,0,0.0,0,0.016666666666666666,0.0,0.12817177217382866
1.34_45,0,0.0,0,0.004761904761904762,0.0,0.06892416001716717
1.35_48_CP,0,0.0,0,0.14047619047619048,0.0,0.34789481018610346
1.36_48,0,0.0,0,0.02619047619047619,0.0,0.15989185457576424
1.37_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426664
1.38_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426685
1.39_48_CP,0,0.0,0,0.23333333333333334,0.0,0.4234570005850299
1.40_48,0,0.0,0,0.004761904761904762,0.0,0.06892416001716711
1.41_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426664
1.42_48,0,0.0,0,0.004761904761904762,0.0,0.0689241600171671
1.43_48,0,0.0,0,0.0,0.0,0.0
1.44_48,0,0.0,0,0.0,0.0,0.0
1.45_48,0,0.0,0,0.0,0.0,0.0
1.46_48,0,0.0,0,0.0,0.0,0.0
1.47_48,0,0.0,0,0.0,0.0,0.0
1.48_48,0,0.0,0,0.0,0.0,0.0
1.49_48,0,0.0,0,0.0,0.0,0.0
1.50_48,0,0.0,0,0.0,0.0,0.0
1.51_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426664
1.52_48,0,0.0,0,0.0,0.0,0.0
1.53_48,0,0.0,0,0.0,0.0,0.0
1.54_48,0,0.0,0,0.0,0.0,0.0
1.55_48,0,0.0,0,0.0,0.0,0.0
1.56_48,0,0.0,0,0.0,0.0,0.0
1.57_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426664
1.58_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426664
1.59_47,0,0.0,0,0.0,0.0,0.0
1.60_47,0,0.0,0,0.0,0.0,0.0
2.37_42,0,0.0,0,0.0,0.0,0.0
2.38_45,0,0.0,0,0.0,0.0,0.0
2.39_47,0,0.0,0,0.0,0.0,0.0
2.40_48,0,0.0,0,0.0,0.0,0.0
2.41_48,0,0.0,0,0.0,0.0,0.0
2.42_48,0,0.0,0,0.0,0.0,0.0
2.43_48,0,0.0,0,0.0,0.0,0.0
2.44_48,0,0.0,0,0.0,0.0,0.0
2.45_48,0,0.0,0,0.0,0.0,0.0
2.46_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426685
2.47_47,0,0.0,0,0.0,0.0,0.0
2.48_48,0,0.0,0,0.0,0.0,0.0
2.49_48,0,0.0,0,0.0,0.0,0.0
