,anova,mutual_info,random_forest,l1_logistic,rfe,boruta,correlation,total
spoc_score,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0
max_n_models,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0
iptm_max,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0
best_contact_score_max,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0
avg_n_models,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0
num_unique_contacts,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0
mean_contacts_across_predictions,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0
pLDDT_lig1_NT,1.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0
iptm_mean,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0
best_num_residue_contacts,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0
paeR_mean,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0
pLDDT_lig1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0
iptm+ptm,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0
paeL_mean,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0
iptm,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0
iptm_min,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0
best_if_residues,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0
best_pae_min,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0
best_plddt_max,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0
num_contacts_with_max_n_models,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
t5_embedding_euclidian_dist,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0
pLDDT_lig1_CT,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
min_contacts_across_predictions,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0
TM3_mid_lig1_NT,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
TM5_EC_lig1_mid,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
TM2_EC_lig1_mid,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
pLDDT_all_residues,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
favorability_mean,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
1.35_48_CP,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
7.40_48,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.28_25_CP,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
TM7_mid_lig1_NT,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
45.51_40,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
TM6_mid_lig1_NT,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
TM5_IC_lig1_mid,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
7.41_48_CP,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
TM6_EC_lig1_mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
TM5_mid_lig1_NT,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
TM4_mid_lig1_NT,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ligContacts_TM5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
