,missing_count,missing_percent,infinite_count,mean,median,std
iptm,0,0.0,0,0.6051071834934382,0.624628067,0.24220779730626246
spoc_score,0,0.0,0,0.20008923884514468,0.045,0.25614535843354796
avg_n_models,0,0.0,0,0.4517349081364821,0.468,0.3531972619615885
max_n_models,0,0.0,0,0.5891469816272964,0.8,0.4363042931650878
num_contacts_with_max_n_models,0,0.0,0,32.86876640419948,28.0,32.28440385730551
num_unique_contacts,0,0.0,0,60.574803149606296,59.0,55.978170512926766
mean_contacts_across_predictions,0,0.0,0,41.881889763779526,29.0,43.17491002152484
min_contacts_across_predictions,0,0.0,0,33.58792650918635,0.0,41.78189939441619
iptm_mean,0,0.0,0,0.6092152230971123,0.617,0.23209137465382054
iptm_min,0,0.0,0,0.5516771653543308,0.54,0.2544591131014269
iptm_max,0,0.0,0,0.659404199475066,0.704,0.21676150945755562
best_num_residue_contacts,0,0.0,0,50.01049868766404,47.0,44.6925155044899
best_if_residues,0,0.0,0,37.20997375328084,40.0,31.863987348355376
best_plddt_max,0,0.0,0,62.44881889763779,82.0,40.34555515753559
best_pae_min,0,0.0,0,1.9087064968669303,1.2466779947,2.3417971759755933
best_contact_score_max,0,0.0,0,542.8923884514436,471.0,519.9108288622449
best_num_significant_afm_scores,0,0.0,0,0.916010498687664,0.0,2.6194175406988816
crispr_jaccard,0,0.0,0,0.04887926509186361,0.037,0.05468672614355877
crispr_shared_hit_count,0,0.0,0,0.8818897637795275,1.0,0.8821102678566346
co_expression_score,0,0.0,0,0.20433070866141728,0.0,0.7509088428990335
t5_embedding_cosine_dist,0,0.0,0,0.6311023622047243,0.64,0.07746899223278425
t5_embedding_euclidian_dist,0,0.0,0,1.625304461942258,1.61,0.19794538509406748
depmap_cosine_dist,0,0.0,0,1.0571049868766396,1.069,0.338857864165264
depmap_euclidian_dist,0,0.0,0,6.82184514435696,6.296,2.3740704252088562
depmap_abs_diff,0,0.0,0,0.4064015748031497,0.094,1.6588586259669271
colocalization_match_score,0,0.0,0,0.363784776902887,0.345,0.11861357372961413
biogrid_detect_count,0,0.0,0,0.1837270341207349,0.0,0.5055978941379241
lig1_num_residues_from_closest_term,0,0.0,0,3.2965879265091864,1.0,4.124855839364336
iptm+ptm,0,0.0,0,0.6308358885149602,0.6595563463,0.20305874073646468
lig1_NorC_position,0,0.0,0,3.2965879265091864,1.0,4.124855839364336
pLDDT_all_residues,0,0.0,0,75.41547477987132,76.834517647,8.540309617129498
pLDDT_lig1,0,0.0,0,58.13085593696063,58.756666667,22.70274617425332
pLDDT_rec,0,0.0,0,76.42916990604728,77.58227027,8.593165098060297
pLDDT_lig1_NT,0,0.0,0,49.332687664042,42.734,22.945498114114265
pLDDT_lig1_CT,0,0.0,0,53.27503412073492,45.182,24.30915307562351
